,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M1,0.046448544,0.054704376,0.065649524,0.09888157,0.064605705,0.025499308,0.04633172,0.11230357,0.0698338,0.08975862,0.052046843,0.07308549,0.129473,0.10164193,0.1497159,0.027187506,0.046800498,0.013851192,0.031519014,0.11604133,0.11745458,0.024802916,0.013122023,0.08219905
M75,0.15425149,0.083840914,0.076990515,0.04937706,0.03980724,0.061174225,0.105901636,0.09784761,0.05306881,0.095625855,0.033198833,0.071694545,0.02620755,0.053368203,0.06791757,0.052579675,0.11645968,0.05859638,0.06893138,0.012823953,0.08568304,0.024296774,0.05182927,0.05689888
M39,0.098581426,0.13715714,0.038511023,0.0860103,0.054033093,0.043542832,0.05131184,0.10826012,0.00461741,0.14620662,0.044445507,0.09699367,0.10604921,0.098120905,0.13219552,0.06183389,0.06754779,0.057252817,0.09769457,0.039828002,0.06457054,0.058533043,0.11675055,0.12842242
M58,0.08691494,0.15161604,0.13470434,0.034963157,0.052322257,0.05409413,0.12694791,0.08512813,0.07397858,0.084607795,0.06568297,0.18346296,0.043949198,0.12867571,0.036430534,0.092041835,0.12921523,0.14754069,0.08642334,0.09933173,0.015344859,0.11672925,0.070833966,0.0855403
M81,0.06034804,0.07083063,0.09850464,0.061078656,0.03156391,0.06491988,0.0577001,0.07363017,0.082133375,0.085870355,0.08202089,0.03365258,0.05482184,0.10471263,0.07879271,0.20934951,0.079921246,0.048067894,0.18679644,0.04775723,0.07842517,0.12438483,0.103894435,0.09818943
M45,0.11625535,0.040408105,0.053121757,0.15061967,0.10638873,0.18757479,0.14448777,0.07081661,0.11278811,0.061261777,0.041001722,0.17158613,0.08534693,0.06183212,0.2069237,0.07052789,0.115400836,0.05575521,0.1626737,0.07014648,0.054883767,0.02979909,0.03722333,0.073139794
M78,0.076092295,0.04884571,0.046779633,0.036190625,0.09097391,0.05658257,0.053073034,0.123608395,0.08706786,0.06542765,0.011420836,0.112247564,0.07061152,0.009743638,0.058414165,0.15215161,0.07995177,0.065917015,0.059312265,0.12885767,0.13940579,0.08542494,0.10041808,0.118148
M42,0.13618656,0.09299415,0.00858078,0.06606826,0.105919905,0.14122385,0.108220935,0.05125085,0.05022989,0.099193014,0.04501733,0.10143728,0.1161375,0.1230427,0.15491185,0.18011065,0.080151856,0.13020328,0.20298216,0.13084178,0.0333738,0.11734164,0.029283484,0.078849636
M44,0.104652755,0.04514368,0.15840943,0.25449407,0.26340157,0.14977986,0.1541814,0.20342186,0.015530929,0.06126216,0.09424222,0.049350794,0.13112032,0.093122065,0.079392195,0.09508354,0.049486373,0.068370946,0.12543827,0.03108858,0.10577867,0.12783076,0.05481795,0.030476602
M54,0.028023329,0.099849366,0.13815257,0.025918294,0.095798045,0.09545963,0.09313312,0.11496613,0.033243556,0.0074464562,0.14305666,0.096692495,0.056022197,0.041777756,0.16963091,0.02163258,0.07362756,0.049211252,0.003283224,0.064544104,0.026642615,0.08903736,0.12170639,0.23012237
M83,0.133265,0.16186357,0.20414124,0.07274591,0.13652052,0.1264971,0.13198067,0.1205081,0.0761902,0.03392531,0.04387694,0.21312279,0.09925455,0.09604742,0.12261765,0.094577625,0.0052649574,0.051472127,0.14525914,0.13733149,0.0966272,0.063583545,0.018718503,0.045722872
