,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M8,0.060750175,0.12711337,0.011781594,0.037741885,0.11191254,0.032484084,0.093410276,0.13032961,0.066806965,0.052466474,0.038638555,0.1315356,0.05104793,0.11973314,0.08424593,0.079328164,0.028700326,0.11095285,0.023411954,0.05489775,0.043996006,0.045595806,0.06037739,0.049886543
M72,0.04342402,0.05788651,0.023729825,0.033706225,0.022470897,0.03728141,0.07736298,0.039573666,0.048317738,0.04808132,0.047841836,0.011109934,0.028549494,0.013710106,0.030966064,0.044363417,0.006606973,0.054906555,0.05447455,0.104128666,0.019908614,0.044393513,0.017209962,0.025748199
M15,0.01852794,0.054624252,0.054422487,0.02601825,0.08416266,0.026579134,0.064954504,0.035584096,0.020925345,0.058390588,0.031975716,0.0056873825,0.037374593,0.031191058,0.040258247,0.023334004,0.050237674,0.06126945,0.026073785,0.06432241,0.07607799,0.010963346,0.08602154,0.07782533
M46,0.04122999,0.04524511,0.100061245,0.057751916,0.036885154,0.07663548,0.051062707,0.03028689,0.07364665,0.12669241,0.07341246,0.0756236,0.06203693,0.07396533,0.081158064,0.032194134,0.061515078,0.0337936,0.09296668,0.069842935,0.039492384,0.0494635,0.019043066,0.025469862
M32,0.04584983,0.048812777,0.014804866,0.11775749,0.105803564,0.026280789,0.041280493,0.043417163,0.054818194,0.04277323,0.028527565,0.040657472,0.02436257,0.038857386,0.061243568,0.04819214,0.03713025,0.055130005,0.06381458,0.088801816,0.052214958,0.027707063,0.0997825,0.060442172
M49,0.12189589,0.09783809,0.10153258,0.07535239,0.10008706,0.11534297,0.06930845,0.090793386,0.08878871,0.059017207,0.085671544,0.0269712,0.10193956,0.16899857,0.10136902,0.026830278,0.13331467,0.18624021,0.079730555,0.0687154,0.021388669,0.050404735,0.12564938,0.11686929
M17,0.052142736,0.047841914,0.20170802,0.02951191,0.11763244,0.06772912,0.09520172,0.034329493,0.08477592,0.037420623,0.10617144,0.06131275,0.05946042,0.067484155,0.01510395,0.023445427,0.049304396,0.03330843,0.11539104,0.05112083,0.08316932,0.07087628,0.10537035,0.1148344
M13,0.08753763,0.0110152345,0.029301347,0.033966105,0.049555156,0.04788719,0.122686386,0.021587677,0.048162557,0.07849631,0.06655846,0.018029414,0.06143767,0.05361411,0.020682126,0.06567595,0.0621275,0.030814175,0.1317306,0.053577952,0.07216137,0.08342656,0.025770891,0.054977532
M11,0.04908051,0.027242698,0.03766185,0.08028255,0.041470915,0.0658497,0.10370446,0.089022696,0.053595286,0.070438914,0.0266615,0.14833,0.075349666,0.06906946,0.09950732,0.17210044,0.106221065,0.087489314,0.06123655,0.13730408,0.077817574,0.12788396,0.054941613,0.10007396
M25,0.08768636,0.07640772,0.0980819,0.06734759,0.06616252,0.11120975,0.06423988,0.109588444,0.15654254,0.08360774,0.053251643,0.036789194,0.07080705,0.0063992976,0.10855479,0.047646385,0.119036235,0.06794555,0.10385135,0.045531128,0.07717857,0.061866976,0.09357944,0.092598826
M14,0.08448436,0.01652983,0.01883828,0.041278165,0.069254704,0.08221377,0.11189777,0.0847436,0.03955036,0.0027478447,0.032931045,0.057165872,0.06492869,0.023462316,0.087754376,0.12579659,0.005902572,0.06526319,0.030612236,0.033606265,0.07525501,0.06217967,0.03679366,0.020302828
M29,0.086759314,0.045136206,0.13808316,0.022602629,0.032374058,0.08364323,0.09898568,0.04336736,0.02887317,0.052247707,0.104337454,0.050347257,0.10679405,0.084205896,0.074773245,0.08876107,0.041752998,0.086551,0.07009689,0.08927074,0.03056136,0.07123666,0.041932438,0.08915085
M38,0.19996433,0.16515702,0.02517242,0.02555951,0.009941231,0.107459866,0.064222366,0.16140738,0.044498358,0.037096716,0.24952959,0.1548876,0.044102915,0.026041696,0.15917584,0.1566208,0.10560697,0.19687371,0.05292567,0.019170417,0.047514584,0.04587976,0.026209492,0.07858127
M94,0.045706734,0.044716172,0.15183708,0.07982756,0.06100966,0.03994654,0.03495694,0.05308313,0.054751698,0.10578478,0.07433008,0.058232337,0.07914507,0.072724104,0.052473348,0.05633866,0.055518404,0.08241898,0.055482,0.07645767,0.0740499,0.057676837,0.08145093,0.0704671
M22,0.08252205,0.036927443,0.12955591,0.12061228,0.1035625,0.034285076,0.091772065,0.060075004,0.063483536,0.15833038,0.104662724,0.038277496,0.058355168,0.04415077,0.107999995,0.037163123,0.023147285,0.034329,0.049880285,0.03079866,0.030902635,0.12393151,0.011909131,0.0873022
